app_name,package,csv_rating,csv_rating_count,csv_downloads,store_rating,store_reviews,store_installs,reviews_scraped,status,scrape_time,out_dir
IslamApp: Prayer times & Athan,islam.islamapp,4.8,76.3K,1M+,4.9461536,159.0,1600689,577,OK,2026-08-19T10:23:15.535324+00:00,reviews/IslamApp_Prayer_times_Athan
Salaat First: Prayer Times,org.hicham.salaat,4.7,761K,10M+,4.747692,1798.0,39056157,8895,OK,2026-08-19T10:23:15.535324+00:00,reviews/Salaat_First_Prayer_Times
নামাজের সময়সূচি - Prayer Time,com.creativeapps.salat_times,4.6,23.3K,1M+,4.67,69.0,1414739,6572,OK,2026-08-19T10:23:15.535324+00:00,reviews/নমজর_সমযসচ_-_Prayer_Time
Salatuk (Prayer time),com.masarat.salati,4.6,1.86M,50M+,4.6540084,16915.0,82252528,111232,OK,2026-08-19T10:23:15.535324+00:00,reviews/Salatuk_Prayer_time
Prayer Times and Qibla,com.reworewo.prayertimes,4.7,27K,1M+,4.81,330.0,3945020,4546,OK,2026-08-19T10:23:15.535324+00:00,reviews/Prayer_Times_and_Qibla
Prayer Times - Qibla & Namaz,com.dawateislami.namaz,4.6,153K,5M+,4.6412215,889.0,8103750,65085,OK,2026-08-19T10:23:15.535324+00:00,reviews/Prayer_Times_-_Qibla_Namaz
"Muslims Day-নামাজ, কুরআন, দুয়া",theoaktroop.appoframadan,4.7,110K,5M+,4.6157894,684.0,5513414,37257,OK,2026-08-19T10:23:15.535324+00:00,reviews/Muslims_Day-নমজ_করআন_দয
Muslim Bangla Quran Hadith Dua,com.tos.namajtime,4.9,142K,5M+,4.940092,830.0,5726987,53332,OK,2026-08-19T10:23:15.535324+00:00,reviews/Muslim_Bangla_Quran_Hadith_Dua
iPray: Prayer Times & Qibla,com.guidedways.ipray,4.4,13.1K,1M+,4.06,745.0,2634066,3355,OK,2026-08-19T10:23:15.535324+00:00,reviews/iPray_Prayer_Times_Qibla
Everyday Muslim - Pray tracker,com.everydaymuslim.app,4.6,5.51K,100K+,4.81,78.0,271429,1106,OK,2026-08-19T10:23:15.535324+00:00,reviews/Everyday_Muslim_-_Pray_tracker
Prayer Times - Qibla & Salah,com.zeedev.islamprayertime,4.8,57.8K,1M+,4.926241,1150.0,2035975,4776,OK,2026-08-19T10:23:15.535324+00:00,reviews/Prayer_Times_-_Qibla_Salah
Athan: Prayer Times & Al Quran,com.athan,4.8,329K,10M+,4.8561416,15206.0,18565695,90003,OK,2026-08-19T10:23:15.535324+00:00,reviews/Athan_Prayer_Times_Al_Quran
"Sadiq: Prayer, Quran, Qibla",com.greentech.sadiq,4.9,6.5K,100K+,4.87,77.0,483641,1525,OK,2026-08-19T10:23:15.535324+00:00,reviews/Sadiq_Prayer_Quran_Qibla
Pillars: Prayer Times & Qibla,com.pillars.pillars,4.5,4.26K,500K+,4.36,194.0,716141,1691,OK,2026-08-19T10:23:15.535324+00:00,reviews/Pillars_Prayer_Times_Qibla
Muslim Pro,com.bitsmedia.android.muslimpro,4.3,1.92M,100M+,4.0794373,34516.0,147608274,283371,OK,2026-08-19T10:23:15.535324+00:00,reviews/Muslim_Pro
"Prayer Time, Azan Alarm, Qibla",com.muslimmer.prayer.times.qibla.compass.azan.holy.quran,4.8,5.45K,10M+,4.7058825,518.0,23818659,8392,OK,2026-08-19T10:23:15.535324+00:00,reviews/Prayer_Time_Azan_Alarm_Qibla
"Muslim: Prayer, Qibla Finder",com.prayertimes.qiblafinder.muslim.android2023,4.2,27.4K,10M+,4.04,131.0,10150825,2541,OK,2026-08-19T10:23:15.535324+00:00,reviews/Muslim_Prayer_Qibla_Finder
iQIBLA Life,com.umeox.qibla,4.7,34.4K,500K+,4.8,213.0,936371,4294,OK,2026-08-19T10:23:15.535324+00:00,reviews/iQIBLA_Life
"Sajda: Quran, Athan, Prayer",com.raimbekov.android.sajde,4.8,460K,10M+,4.8445597,682.0,13005283,5135,OK,2026-08-19T10:23:15.535324+00:00,reviews/Sajda_Quran_Athan_Prayer
Deen App,com.letsflutter.deen,4.9,21.5K,500K+,4.9481483,536.0,536210,7497,OK,2026-08-19T10:23:15.535324+00:00,reviews/Deen_App
Islamic Habit tracker,com.prayertimesqiblaazan.muslim,3.8,7.04K,1M+,4.3,40.0,4324755,799,OK,2026-08-19T10:23:15.535324+00:00,reviews/Islamic_Habit_tracker
Niya,com.niyaa,3.9`,212,50K+,2.2,2.0,90463,54,OK,2026-08-19T10:23:15.535324+00:00,reviews/Niya
Muslim Muna,com.muslimramadantech.holyquran,4.4,5.43K,500K+,4.452381,15.0,948003,610,OK,2026-08-19T10:23:15.535324+00:00,reviews/Muslim_Muna
PrayerAlarm,com.ilyn.prayer_alarm,,,100K+,,,249207,5,OK,2026-08-19T10:23:15.535324+00:00,reviews/PrayerAlarm
Pray Watch,com.iw.android.prayerapp,4.4,202,10K+,4.116279,21.0,48913,74,OK,2026-08-19T10:23:15.535324+00:00,reviews/Pray_Watch
WeMuslim,com.fyxtech.muslim,4.4,738K,100M+,3.9550898,1566.0,129241208,29470,OK,2026-08-19T10:23:15.535324+00:00,reviews/WeMuslim
