topic_id,size,auto_name,top_words,rq_tags,representative_doc_1,representative_doc_2,manual_label,submodel,stability_ari
4,2644,4_sisters_brothers_brothers sisters_track,"sisters, brothers, brothers sisters, track, sister, daily, helpful, recommend, brother, data",RQ1|RQ4,One of the best app for muslim brothers and sisters,very good apps for Muslims brothers and Sisters,,rq4_women_privacy,0.567
1,1724,1_data_selling_military_selling data,"data, selling, military, selling data, sell, data military, sold, sell data, user, shame",RQ4,Are you selling our data to the US military?? >:(,Selling data to US military,,rq4_women_privacy,0.567
0,1421,0_data_military_selling_sold,"data, military, selling, sold, location, sell, data military, selling data, uninstall, location data",RQ4,Muslim Pro app selling user data to US military,This app is selling muslim data,,rq4_women_privacy,0.567
-1,1058,-1_data_location_selling_ads,"data, location, selling, ads, premium, location data, star, don, user, military",RQ4|RQ6,Is this app selling location data to the US military for 'counterterrorism'?,Selling the user location data out,,rq4_women_privacy,0.567
7,825,7_data_selling_privacy_personal,"data, selling, privacy, personal, sold, don, sell, user, personal data, selling data",RQ4,This app selling his data,This app selling our data.,,rq4_women_privacy,0.567
2,598,2_ads_women_ad_naked,"ads, women, ad, naked, inappropriate, woman, adds, naked women, half, showing",RQ4|RQ6,there are lot of ads of women,Great app there is a lot of ads with women.,,rq4_women_privacy,0.567
9,534,9_military_data_data military_army,"military, data, data military, army, selling, sell, uninstall, selling data, sold, don",RQ4,This apps is not good because they sell our data to US MILITARY,This app selling our data to US military,,rq4_women_privacy,0.567
5,181,5_uninstall_data_uninstalled_selling,"uninstall, data, uninstalled, selling, military, data military, sell, selling data, uninstalling, sell data",RQ4,Done uninstall after found out you are selling our data to US military!,"They sell your data to the US military. Everyone, please uninstall now.",,rq4_women_privacy,0.567
3,145,3_location_permission_location permission_manually,"location, permission, location permission, manually, location access, gps, access, city, work, doesn",RQ4,"Prayer timings are perfect for uae. But when location is set manually, it still need location permission. Without giving location permission it doesn't work, which makes it doubtful and untrustworthy. I am uninstalling it now.",Not working without location permission,,rq4_women_privacy,0.567
6,110,6_data_ads_paid_version,"data, ads, paid, version, ads ads, premium, subscription, connection, work, useful",RQ4|RQ6,"Once people pay for it, make sure your support available for asist. Can't simply ask for direct email. So unprofessional. I'm facing lost data for my personal tracker. I'm done all troubleshooting and still facing same problem. Why other apps can store most complicated data for a year, but your apps",100s of companies thousands of venders I do not give you permission DELETED for you to use my device for ads Beaware people .ads ads ads ads ads ads ads ads ads ads ads,,rq4_women_privacy,0.567
8,103,8_location_location data_military_data military,"location, location data, military, data military, data, sells, user location, sell location, sell, selling location",RQ4,This app sells location data to US Military,They sell your location data to the US military. Do not use this app.,,rq4_women_privacy,0.567
